date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:15	36697/36697	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:26:31%20GMT	http://www.w3schools.com/bootstrap/bootstrap_button_groups.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_button_groups.html	(from http://www.w3schools.com/bootstrap/)
10:44:16	30873/30873	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:20:45%20GMT	http://www.w3schools.com/bootstrap/bootstrap_glyphicons.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_glyphicons.html	(from http://www.w3schools.com/bootstrap/)
10:44:18	32897/32897	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:22:55%20GMT	http://www.w3schools.com/bootstrap/bootstrap_badges_labels.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_badges_labels.html	(from http://www.w3schools.com/bootstrap/)
10:44:18	34608/34608	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:56:12%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pagination.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_pagination.html	(from http://www.w3schools.com/bootstrap/)
10:44:20	36489/36489	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:11:17%20GMT	http://www.w3schools.com/bootstrap/bootstrap_list_groups.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_list_groups.html	(from http://www.w3schools.com/bootstrap/)
10:44:20	38909/38909	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:24:54%20GMT	http://www.w3schools.com/bootstrap/bootstrap_progressbars.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_progressbars.html	(from http://www.w3schools.com/bootstrap/)
10:44:22	40183/40183	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:29:59%20GMT	http://www.w3schools.com/bootstrap/bootstrap_collapse.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_collapse.html	(from http://www.w3schools.com/bootstrap/)
10:44:22	33783/33783	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:55:10%20GMT	http://www.w3schools.com/bootstrap/bootstrap_panels.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_panels.html	(from http://www.w3schools.com/bootstrap/)
10:44:22	37590/37590	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:06:14%20GMT	http://www.w3schools.com/bootstrap/bootstrap_dropdowns.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_dropdowns.html	(from http://www.w3schools.com/bootstrap/)
10:44:24	29393/29393	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:13:14%20GMT	http://www.w3schools.com/bootstrap/bootstrap_pager.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_pager.html	(from http://www.w3schools.com/bootstrap/)
10:44:24	37722/37722	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:13:54%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms.html	(from http://www.w3schools.com/bootstrap/)
10:44:25	45801/45801	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:13:40%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tabs_pills.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_tabs_pills.html	(from http://www.w3schools.com/bootstrap/)
10:44:25	43790/43790	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:28:22%20GMT	http://www.w3schools.com/bootstrap/bootstrap_navbar.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_navbar.html	(from http://www.w3schools.com/bootstrap/)
10:44:27	33163/33163	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2007:13:25%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_sizing.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_sizing.html	(from http://www.w3schools.com/bootstrap/)
10:44:27	36385/36385	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2005:44:35%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs.html	(from http://www.w3schools.com/bootstrap/)
10:44:28	36346/36346	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:09:04%20GMT	http://www.w3schools.com/bootstrap/bootstrap_forms_inputs2.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_forms_inputs2.html	(from http://www.w3schools.com/bootstrap/)
10:44:31	31177/31177	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:16:55%20GMT	http://www.w3schools.com/bootstrap/bootstrap_tooltip.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_tooltip.html	(from http://www.w3schools.com/bootstrap/)
10:44:31	34169/34169	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:58:47%20GMT	http://www.w3schools.com/bootstrap/bootstrap_modal.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_modal.html	(from http://www.w3schools.com/bootstrap/)
10:44:31	39705/39705	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:49:17%20GMT	http://www.w3schools.com/bootstrap/bootstrap_carousel.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_carousel.html	(from http://www.w3schools.com/bootstrap/)
10:44:32	33053/33053	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:56:49%20GMT	http://www.w3schools.com/bootstrap/bootstrap_popover.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_popover.html	(from http://www.w3schools.com/bootstrap/)
10:44:32	32416/32416	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:59:08%20GMT	http://www.w3schools.com/bootstrap/bootstrap_scrollspy.asp	C:/Users/bal%20be/Desktop/lien%20bootstrap/bootstrap/www.w3schools.com/bootstrap/bootstrap_scrollspy.html	(from http://www.w3schools.com/bootstrap/)
